Colleges,Rating,Reviews,NIRF_Ranking,City,State,Ownership,Fees,BTech_Courses,MTech_Courses
IIT Madras - Indian Institute of Technology Madras,4.7,114, 1, Chennai,Tamil Nadu,Public/Govt,₹8.58 Lakhs,11 ,30 
IIT Delhi - Indian Institute of Technology Delhi,4.6,265, 2, New Delhi,Delhi,Public/Govt,₹8.58 Lakhs,14 ,48 
IIT Bombay - Indian Institute of Technology Bombay,4.6,161, 3, Mumbai,Maharashtra,Public/Govt,₹8.69 Lakhs,11 ,42 
IIT Kanpur - Indian Institute of Technology Kanpur,4.4,156, 4, Kanpur,Uttar Pradesh,Public/Govt,₹11.67 Lakhs,9 ,40 
IIT Kharagpur - Indian Institute of Technology Kharagpur,4.7,323, 5, Kharagpur,West Bengal,Public/Govt,₹10.42 Lakhs,16 ,62 
IIT Roorkee - Indian Institute of Technology Roorkee,4.4,407, 6, Roorkee,Uttarakhand,Public/Govt,₹8.90 Lakhs,13 ,54 
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,4.3,186, 7, Guwahati,Assam,Public/Govt,₹11.99 Lakhs,12 ,28 
IIT Hyderabad - Indian Institute of Technology Hyderabad,4.6,27, 8, Hyderabad,Telangana,Public/Govt,₹9.08 Lakhs,15 ,38 
NIT Trichy - National Institute of Technology Tiruchirappalli,4.4,304, 9, Tiruchirappalli,Tamil Nadu,Public/Govt,₹6.30 Lakhs,9 ,23 
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,4.6,160, 10, Varanasi,Uttar Pradesh,Public/Govt,₹8.58 Lakhs,9 ,34 
"VIT Vellore - Vellore Institute of Technology, Vellore",4.4,787, 11, Vellore,Tamil Nadu,Private,,15 ,23 
"Jadavpur University, Kolkata",4.6,222, 12, Kolkata,West Bengal,Public/Govt,,18 ,34 
"SRM University Chennai - SRM Institute of Science and Technology, Chennai",4.3,727, 13, Chennai,Tamil Nadu,Private,₹11 Lakhs,54 ,34 
"Anna University, Chennai",4.8,43, 14, Chennai,Tamil Nadu,Public/Govt,₹2.20 Lakhs,8 ,44 
IIT (ISM) Dhanbad - Indian Institute of Technology Indian School of Mines Dhanbad,4.3,190, 15, Dhanbad,Jharkhand,Public/Govt,₹10.95 Lakhs,13 ,19 
IIT Indore - Indian Institute of Technology Indore,4.6,36, 16, Indore,Madhya Pradesh,Public/Govt,,9 ,15 
NIT Surathkal (NITK) - National Institute of Technology Karnataka Surathkal,4.4,95, 17, Mangalore,Karnataka,Public/Govt,₹5.72 Lakhs,12 ,55 
IIT Gandhinagar (IIT GN) - Indian Institute of Technology Gandhinagar,4.4,18, 18, Gandhinagar,Gujarat,Public/Govt,₹8.67 Lakhs,10 ,
NIT Rourkela - National Institute of Technology Rourkela,4.6,340, 19, Rourkela,Odisha,Public/Govt,₹6.28 Lakhs,15 ,54 
"BITS Pilani - Birla Institute of Technology and Science, Pilani",4.5,264, 20, Pilani,Rajasthan,Private,₹22.32 Lakhs,7 ,31 
NIT Warangal - National Institute of Technology Warangal,4.6,142, 21, Warangal,Telangana,Public/Govt,₹5.74 Lakhs,11 ,33 
IIT Ropar (IIT-RPR) - Indian Institute of Technology Ropar,4.5,126, 22, Rupnagar,Punjab,Public/Govt,₹9.36 Lakhs,9 ,
"Amrita Vishwa Vidyapeetham, Coimbatore",4.3,121, 23, Coimbatore,Tamil Nadu,Private,₹24 Lakhs,11 ,19 
"JMI New Delhi - Jamia Millia Islamia, New Delhi",4.5,384, 24, New Delhi,Delhi,Public/Govt,₹64.60 K,5 ,15 
NIT Calicut - National Institute of Technology Calicut,4.4,132, 25, Kozhikode,Kerala,Public/Govt,₹6.23 Lakhs,10 ,28 
"Siksha 'O' Anusandhan, Bhubaneswar",4.0,148, 26, Bhubaneswar,Odisha,Private,₹11.05 Lakhs,18 ,
"DTU Delhi - Delhi Technological University, Delhi",4.5,417, 27, New Delhi,Delhi,Public/Govt,,21 ,36 
IIT Jodhpur - Indian Institute of Technology Jodhpur,4.3,51, 28, Jodhpur,Rajasthan,Public/Govt,₹10.25 Lakhs,8 ,17 
"Thapar University - Thapar Institute of Engineering and Technology, Patiala",4.3,290, 29, Patiala,Punjab,Private,₹20.15 Lakhs,31 ,15 
"Amity University, Noida",4.1,392, 30, Noida,Uttar Pradesh,Private,₹8.64 Lakhs,13 ,24 
IIT Mandi - Indian Institute of Technology Mandi,4.4,27, 31, Mandi,Himachal Pradesh,Public/Govt,₹8.63 Lakhs,11 ,37 
"Chandigarh University - Chandigarh University, Chandigarh",4.3,826, 32, Chandigarh,Chandigarh,Private,₹10.75 Lakhs,35 ,
"AMU Aligarh - Aligarh Muslim University, Aligarh",4.7,405, 33, Aligarh,Uttar Pradesh,Public/Govt,,12 ,23 
IIT Patna - Indian Institute of Technology Patna,4.7,52, 34, Patna,Bihar,Public/Govt,₹9.85 Lakhs,11 ,15 
"KL University Guntur - Koneru Lakshmaiah Education Foundation, Guntur",4.4,129, 35, Guntur,Andhra Pradesh,Private,₹9.95 Lakhs,18 ,18 
"Kalasalingam Academy of Research and Education, Virudhunagar",3.8,30, 36, Virudhunagar,Tamil Nadu,Private,₹5.31 Lakhs,18 ,12 
"KIIT University - Kalinga Institute of Industrial Technology, Bhubaneswar",4.3,538, 37, Bhubaneswar,Odisha,Private,₹14.91 Lakhs,18 ,14 
"SASTRA University Thanjavur - Shanmugha Arts Science Technology Research and Academy, Thanjavur",4.2,179, 38, Thanjavur,Tamil Nadu,Private,,28 ,
VNIT Nagpur - Visvesvaraya National Institute of Technology Nagpur,4.2,121, 39, Nagpur,Maharashtra,Public/Govt,₹5.50 Lakhs,8 ,22 
NIT Silchar - National Institute of Technology Silchar,4.3,164, 40, Silchar,Assam,Public/Govt,₹6.00 Lakhs,6 ,19 
"ICT Mumbai - Institute of Chemical Technology, Mumbai",4.5,25, 41, Mumbai,Maharashtra,Public/Govt,₹7.20 Lakhs,8 ,
MNIT Jaipur - Malaviya National Institute of Technology Jaipur,4.3,273, 43, Jaipur,Rajasthan,Public/Govt,₹6.17 Lakhs,8 ,23 
NIT Durgapur - National Institute of Technology Durgapur,4.1,165, 44, Durgapur,West Bengal,Public/Govt,₹6.25 Lakhs,9 ,24 
NIT Delhi - National Institute of Technology Delhi,4.0,74, 45, New Delhi,Delhi,Public/Govt,₹6.58 Lakhs,9 ,10 
"SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",4.6,65, 46, Kelambakkam,Tamil Nadu,Private,,8 ,9 
"IIIT Hyderabad - International Institute of Information Technology, Hyderabad",4.5,34, 47, Hyderabad,Telangana,Private,₹16 Lakhs,2 ,
"Birla Institute of Technology, Mesra (BIT Mesra) - Birla Institute of Technology, Mesra",4.2,211, 48, Pilani,Rajasthan,Private,₹15.74 Lakhs,11 ,28 
IIEST Shibpur - Indian Institute of Engineering Science and Technology Shibpur,4.3,141, 49, Howrah,West Bengal,Public/Govt,₹5.44 Lakhs,9 ,29 
"LPU Jalandhar - Lovely Professional University, Phagwara",4.4,1135, 50, Phagwara,Punjab,Private,₹16.36 Lakhs,54 ,13 
"IIST Thiruvananthapuram - Indian Institute of Space Science and Technology, Thiruvananthapuram",4.5,15, 51, Thiruvananthapuram,Kerala,Public/Govt,₹5.48 Lakhs,3 ,16 
"Graphic Era University, Dehradun",4.1,189, 52, Dehradun,Uttarakhand,Private,₹16.74 Lakhs,26 ,5 
IIT Bhubaneswar - Indian Institute of Technology Bhubaneswar,4.3,32, 54, Bhubaneswar,Odisha,Public/Govt,₹8.94 Lakhs,7 ,15 
NIT Patna - National Institute of Technology Patna,4.0,64, 55, Patna,Bihar,Public/Govt,₹6.02 Lakhs,7 ,21 
"MIT Manipal - Manipal Institute of Technology, Manipal",4.2,190, 56, Manipal,Karnataka,Private,₹19.48 Lakhs,41 ,31 
"NSUT Delhi - Netaji Subhas University of Technology, New Delhi",4.4,169, 57, New Delhi,Delhi,Public/Govt,₹9.38 Lakhs,19 ,19 
NIT Jalandhar - Dr B R Ambedkar National Institute of Technology Jalandhar,4.0,282, 58, Jalandhar,Punjab,Public/Govt,₹6.36 Lakhs,14 ,47 
SVNIT Surat - Sardar Vallabhbhai National Institute of Technology Surat,4.2,105, 59, Surat,Gujarat,Public/Govt,₹5.83 Lakhs,11 ,44 
MNNIT Allahabad - Motilal Nehru National Institute of Technology Allahabad Prayagraj,4.5,296, 60, Allahabad,Uttar Pradesh,Public/Govt,₹6.52 Lakhs,11 ,25 
IIT Tirupati - Indian Institute of Technology Tirupati,4.6,16, 61, Tirupati,Andhra Pradesh,Public/Govt,₹8.90 Lakhs,6 ,
IIT Jammu - Indian Institute of Technology Jammu,4.4,25, 62, Jammu,Jammu and,Public/Govt,₹8.19 Lakhs,7 ,8 
"DIAT Pune - Defence Institute of Advanced Technology, Pune",4.8,2, 63, Pune,Maharashtra,Public/Govt,₹1.44 Lakhs,,30 
"Manipal University, Jaipur",4.2,396, 64, Jaipur,Rajasthan,Private,₹15.02 Lakhs,29 ,12 
IIT Palakkad - Indian Institute of Technology Palakkad,4.1,21, 64, Palakkad,Kerala,Public/Govt,₹8.93 Lakhs,5 ,
"Sathyabama University - Sathyabama Institute of Science and Technology, Chennai",4.2,162, 66, Chennai,Tamil Nadu,Private,,24 ,14 
"PSG Tech Coimbatore - PSG College of Technology, Coimbatore",4.5,133, 67, Coimbatore,Tamil Nadu,Private,,19 ,15 
NIT Meghalaya - National Institute of Technology Meghalaya,4.0,21, 68, Shillong,Meghalaya,Public/Govt,₹5.78 Lakhs,5 ,9 
"Visvesvaraya Technological University, Belagavi",4.8,24, 69, Belgaum,Karnataka,Public/Govt,₹10 Lakhs,18 ,58 
